ticket_id,date,channel,text,theme
T0200,2024-01-02,sms,SAMPLE: Need to change the ship-to address on an unfulfilled order.,other
T0120,2025-11-02,survey,SAMPLE: Color is much lighter than the site; dye looks faded already.,product
T0187,2024-05-13,social,"SAMPLE: Press request for a loft photoshoot, not an order issue.",other
T0028,2025-08-19,survey,SAMPLE: Transit time doubled versus checkout. This is the second late order.,shipping
T0058,2025-08-03,cx_ticket,SAMPLE: USPS tracking is blank. Is this still in the warehouse?,shipping
T0146,2024-04-14,survey,SAMPLE: Retargeting ad kept firing after I already bought.,ads
T0162,2025-06-17,sms,SAMPLE: The ad was misleading — hero image is not the SKU in stock.,ads
T0170,2025-12-03,sms,SAMPLE: TikTok advertisement promised a gift with purchase that did not apply.,ads
T0024,2025-07-29,survey,SAMPLE: Delivery was four days past the estimated arrival and I missed the event.,shipping
T0192,2025-04-19,chat,"SAMPLE: Press request for a loft photoshoot, not an order issue.",other
T0131,2024-01-16,chat,SAMPLE: Sizing is off — it is smaller than the dimensions listed.,product
T0029,2025-08-08,chat,SAMPLE: Delivery was four days past the estimated arrival and I missed the event.,shipping
T0043,2025-07-22,cx_ticket,"SAMPLE: Late for a housewarming — shipping said 3–5 days, we are on day 11.",shipping
T0178,2025-01-28,cx_ticket,SAMPLE: Please add a gift message before this ships.,other
T0155,2024-04-12,cx_ticket,SAMPLE: TikTok advertisement promised a gift with purchase that did not apply.,ads
T0165,2024-10-03,cx_ticket,SAMPLE: Clicked the ad from TikTok; landing page was a different colorway.,ads
T0109,2024-01-07,cx_ticket,SAMPLE: Pilling on the edge after one week of use.,product
T0116,2025-06-03,cx_ticket,SAMPLE: Pilling on the edge after one week of use.,product
T0088,2025-09-16,sms,SAMPLE: Carrier scan stopped after the warehouse; still waiting on the package.,shipping
T0090,2025-05-19,cx_ticket,SAMPLE: Transit time doubled versus checkout. This is the second late order.,shipping
T0096,2025-01-19,sms,SAMPLE: Corner stitching opened after two washes.,product
T0093,2025-06-03,cx_ticket,SAMPLE: Sizing is off — it is smaller than the dimensions listed.,product
T0071,2025-12-21,cx_ticket,SAMPLE: Backorder notice came after purchase; can you expedite fulfillment?,shipping
T0036,2025-08-01,social,SAMPLE: Backorder notice came after purchase; can you expedite fulfillment?,shipping
T0144,2025-04-16,social,"SAMPLE: Saw the ad on Instagram, but the bundle was already gone.",ads
T0042,2025-08-20,cx_ticket,SAMPLE: USPS tracking is blank. Is this still in the warehouse?,shipping
T0105,2024-09-07,social,SAMPLE: Sheds lint on the couch; shedding started after the first wash.,product
T0176,2025-05-10,cx_ticket,SAMPLE: Wedding registry question: can guests pick a SKU?,other
T0006,2025-12-04,survey,SAMPLE: USPS tracking is blank. Is this still in the warehouse?,shipping
T0164,2025-12-04,sms,SAMPLE: Clicked the ad from TikTok; landing page was a different colorway.,ads
T0182,2024-03-21,cx_ticket,SAMPLE: Password reset on the account is looping; cannot log in.,other
T0003,2024-11-24,social,"SAMPLE: Late for a housewarming — shipping said 3–5 days, we are on day 11.",shipping
T0118,2025-06-19,survey,SAMPLE: Wash instructions followed; fabric still looks worn.,product
T0069,2025-04-18,social,"SAMPLE: FedEx delivery exception, box has not shown up, ticket opened again.",shipping
T0141,2025-11-23,cx_ticket,"SAMPLE: Saw the ad on Instagram, but the bundle was already gone.",ads
T0102,2025-09-21,social,SAMPLE: Corner stitching opened after two washes.,product
T0012,2024-12-02,cx_ticket,SAMPLE: Delivery was four days past the estimated arrival and I missed the event.,shipping
T0089,2024-02-05,cx_ticket,SAMPLE: USPS tracking is blank. Is this still in the warehouse?,shipping
T0121,2025-02-06,social,SAMPLE: Corner stitching opened after two washes.,product
T0197,2024-12-03,sms,SAMPLE: Password reset on the account is looping; cannot log in.,other
T0077,2025-02-25,survey,SAMPLE: Package marked delivered but nothing on the porch. Lost?,shipping
T0035,2025-08-11,chat,"SAMPLE: FedEx delivery exception, box has not shown up, ticket opened again.",shipping
T0002,2024-12-03,survey,"SAMPLE: FedEx delivery exception, box has not shown up, ticket opened again.",shipping
T0041,2025-07-09,social,SAMPLE: Transit time doubled versus checkout. This is the second late order.,shipping
T0152,2025-03-12,chat,SAMPLE: Facebook advertisement showed a price that was not on the PDP.,ads
T0112,2025-02-14,sms,SAMPLE: Smell out of the bag has not gone away after airing out.,product
T0019,2025-07-21,chat,SAMPLE: Carrier scan stopped after the warehouse; still waiting on the package.,shipping
T0009,2024-11-23,chat,SAMPLE: Never arrived. Last scan was in transit two weeks ago.,shipping
T0061,2025-04-27,cx_ticket,SAMPLE: Never arrived. Last scan was in transit two weeks ago.,shipping
T0094,2024-07-02,cx_ticket,SAMPLE: Wash instructions followed; fabric still looks worn.,product
T0108,2024-04-25,social,SAMPLE: Color is much lighter than the site; dye looks faded already.,product
T0110,2024-02-07,social,SAMPLE: Pilling on the edge after one week of use.,product
T0027,2025-08-14,social,SAMPLE: Never arrived. Last scan was in transit two weeks ago.,shipping
T0032,2025-07-16,survey,SAMPLE: Transit time doubled versus checkout. This is the second late order.,shipping
T0163,2024-12-23,sms,SAMPLE: TikTok advertisement promised a gift with purchase that did not apply.,ads
T0098,2024-06-24,social,SAMPLE: Color is much lighter than the site; dye looks faded already.,product
T0138,2024-06-19,sms,SAMPLE: Fabric feels thinner than the product page photos.,product
T0054,2025-07-25,social,SAMPLE: USPS tracking is blank. Is this still in the warehouse?,shipping
T0160,2024-07-10,survey,"SAMPLE: Saw the ad on Instagram, but the bundle was already gone.",ads
T0190,2025-09-07,cx_ticket,SAMPLE: Can you resend the invoice for our records?,other
T0050,2025-08-13,sms,SAMPLE: UPS says delayed; the blanket was supposed to arrive last Friday.,shipping
T0145,2025-11-27,cx_ticket,"SAMPLE: Saw the ad on Instagram, but the bundle was already gone.",ads
T0111,2024-10-16,cx_ticket,SAMPLE: Sheds lint on the couch; shedding started after the first wash.,product
T0124,2025-12-23,sms,SAMPLE: Corner stitching opened after two washes.,product
T0073,2025-08-31,survey,SAMPLE: Tracking has not moved in six days; package still shows in transit.,shipping
T0005,2024-11-25,survey,SAMPLE: Tracking has not moved in six days; package still shows in transit.,shipping
T0167,2025-06-10,chat,SAMPLE: Facebook advertisement showed a price that was not on the PDP.,ads
T0125,2024-01-14,survey,SAMPLE: Corner stitching opened after two washes.,product
T0106,2024-03-26,survey,SAMPLE: Smell out of the bag has not gone away after airing out.,product
T0026,2025-07-19,cx_ticket,SAMPLE: Package marked delivered but nothing on the porch. Lost?,shipping
T0184,2025-05-29,survey,SAMPLE: Password reset on the account is looping; cannot log in.,other
T0142,2025-11-29,survey,SAMPLE: Discount code from the Meta ad returned invalid.,ads
T0136,2025-03-26,cx_ticket,SAMPLE: Sizing is off — it is smaller than the dimensions listed.,product
T0104,2025-09-01,survey,SAMPLE: Seam on the binding is tearing. Quality issue.,product
T0044,2025-07-14,cx_ticket,SAMPLE: Carrier scan stopped after the warehouse; still waiting on the package.,shipping
T0052,2025-08-02,cx_ticket,SAMPLE: Never arrived. Last scan was in transit two weeks ago.,shipping
T0082,2024-01-25,survey,SAMPLE: Transit time doubled versus checkout. This is the second late order.,shipping
